n,mean_ratio,sem
3.287721000000000000e+06,1.318196028673827236e+00,2.590438462398884185e-04
3.368195000000000000e+06,1.318212856509820785e+00,2.388296220597865209e-04
3.450639000000000000e+06,1.318700975348999105e+00,2.415717506066507498e-04
3.535101000000000000e+06,1.317589187413603424e+00,2.454555558677021286e-04
3.621631000000000000e+06,1.318208283997610586e+00,2.358961647295660941e-04
3.710277000000000000e+06,1.318283020207469791e+00,2.429441414176511729e-04
3.801095000000000000e+06,1.318099567731285005e+00,2.470423387253299543e-04
3.894135000000000000e+06,1.319004087893340449e+00,2.387865478328297193e-04
3.989451000000000000e+06,1.318337737055811587e+00,2.280307544336534044e-04
4.087103000000000000e+06,1.318689187782582595e+00,2.217576593695548852e-04
4.187143000000000000e+06,1.318887464311105040e+00,2.215240621395461013e-04
4.289633000000000000e+06,1.318791397091625406e+00,2.339370686070084816e-04
4.394631000000000000e+06,1.318353134426189843e+00,2.340524415124391048e-04
4.502199000000000000e+06,1.318306437159167954e+00,2.266637563062241041e-04
4.612399000000000000e+06,1.318881364343442941e+00,1.904566893153040628e-04
4.725299000000000000e+06,1.318485992805445983e+00,2.184776926206193754e-04
4.840961000000000000e+06,1.318169718859769413e+00,2.002571326591842465e-04
4.959453000000000000e+06,1.318365639726652994e+00,2.018034634321823513e-04
5.080847000000000000e+06,1.318833675504071712e+00,1.945996088454644672e-04
5.205211000000000000e+06,1.318822168258166894e+00,2.014416527159712902e-04
5.332621000000000000e+06,1.318908466832936943e+00,2.092660957877486082e-04
5.463147000000000000e+06,1.319116794042035412e+00,1.928668750678018092e-04
5.596869000000000000e+06,1.318423059254965723e+00,1.937491472293985720e-04
5.733865000000000000e+06,1.319286879056022599e+00,2.001020986095045572e-04
5.874215000000000000e+06,1.318570219270850608e+00,2.084198924538426228e-04
6.017999000000000000e+06,1.318932060889218327e+00,1.853849093953890970e-04
6.165301000000000000e+06,1.318878439515470236e+00,1.922657697569861012e-04
6.316211000000000000e+06,1.318836110615321244e+00,1.913764063733329522e-04
6.470813000000000000e+06,1.319271132559384441e+00,1.941986020932757627e-04
6.629201000000000000e+06,1.319087078893925735e+00,1.883119818149082709e-04
6.791465000000000000e+06,1.318547533038789688e+00,1.885738045314333479e-04
6.957701000000000000e+06,1.319295002887838741e+00,1.756675647221917088e-04
7.128005000000000000e+06,1.318704730329769648e+00,1.699224056132137559e-04
7.302479000000000000e+06,1.318868824965513165e+00,1.871284405039440595e-04
7.481223000000000000e+06,1.319255275428401486e+00,1.915334547878163175e-04
7.664343000000000000e+06,1.319486704264905219e+00,1.740758795305744728e-04
7.851943000000000000e+06,1.319364364099101294e+00,1.733305275400221868e-04
8.044137000000000000e+06,1.318863969976056483e+00,1.748103012631473650e-04
8.241035000000000000e+06,1.319034543985020180e+00,1.694837467898394707e-04
8.442751000000000000e+06,1.318878831995279555e+00,1.662126059191566731e-04
8.649407000000000000e+06,1.318458824346118385e+00,1.704567011470208232e-04
8.861119000000000000e+06,1.319337425126455354e+00,1.598179124420180241e-04
9.078015000000000000e+06,1.318962783545762907e+00,1.609000276388408224e-04
9.300219000000000000e+06,1.319214035536711682e+00,1.718091622615884780e-04
9.527861000000000000e+06,1.319079112075206339e+00,1.560690695531334886e-04
9.761077000000000000e+06,1.319240931692831520e+00,1.613856291684803636e-04
1.584893100000000000e+07,1.319354344304219939e+00,1.279742016419771955e-04
2.511886500000000000e+07,1.319798618438069226e+00,1.025924791167844236e-04
3.981071700000000000e+07,1.319762147761560866e+00,8.903220333913167616e-05
6.309573500000000000e+07,1.319774686154671528e+00,7.567027484858684114e-05
9.999949900000000000e+07,1.319980644400864378e+00,5.783011705862100253e-05
